"","Name","Sex","Age","Height","Weight","Team","NOC","Year","Season","City","Sport","Event","Medal"
"127063","Justin Kripps","M",23,183,220.46226218,"Canada-2","CAN",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Four","0"
"127064","Justin Kripps","M",27,183,220.46226218,"Canada-3","CAN",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Two","0"
"127117","Arnfinn Kristiansen","M",30,181,202.8252812056,"Norway","NOR",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Two","0"
"129233","Dawid Andrzej Kupczyk","M",24,182,216.0530169364,"Poland","POL",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"129234","Dawid Andrzej Kupczyk","M",28,182,216.0530169364,"Poland","POL",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Four","0"
"129235","Dawid Andrzej Kupczyk","M",32,182,216.0530169364,"Poland","POL",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Two","0"
"129598","Kevin Kuske","M",27,196,255.7362241288,"Germany-1","GER",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Four","1"
"129599","Kevin Kuske","M",31,196,255.7362241288,"Germany-1","GER",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Two","1"
"131978","Andr Lange","M",32,188,220.46226218,"Germany-1","GER",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Four","1"
"131979","Andr Lange","M",36,188,220.46226218,"Germany-1","GER",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Two","1"
"134027","Chris le Bihan","M",32,188,220.46226218,"Canada-1","CAN",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Four","1"
"135163","Lee Jin-Hui","M",25,180,194.0067907184,"South Korea","KOR",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Four","0"
"135712","Elly Lefort","M",26,187,220.46226218,"France-1","FRA",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"136080","Vairis Leiboms","M",22,185,207.2345264492,"Latvia-2","LAT",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Two","0"
"136317","Ioannis Leivaditis","M",28,175,156.5282061478,"Greece","GRE",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Two","0"
"141258","Jrgen Loacker","M",31,176,198.416035962,"Austria-2","AUT",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Two","0"
"143677","Pierre Fritz Lueders","M",31,184,216.0530169364,"Canada-1","CAN",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Two","0"
"143884","Jesse Lumsden","M",31,186,231.485375289,"Canada-3","CAN",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"147061","Pyotr Anatolyevich Makarchuk","M",29,185,198.416035962,"Russia-2","RUS",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Two","0"
"148455","Alexander Mann","M",29,190,235.8946205326,"Germany-3","GER",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Four","0"
"149474","Tams Margl","M",29,190,185.1883002312,"Hungary","HUN",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Four","0"
"152780","Andrew Matthews","M",29,175,156.5282061478,"Great Britain-2","GBR",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"156088","Oskars Melbrdis","M",25,189,209.439149071,"Latvia-1","LAT",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Two","0"
"159778","Jnis Miins","M",25,185,218.2576395582,"Latvia-1","LAT",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Two","0"
"161411","Denis Sergeyevich Moiseychenkov","M",23,182,176.369809744,"Russia-3","RUS",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Four","0"
"163593","Yannick Morin","M",26,180,194.0067907184,"Canada-2","CAN",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Two","0"
"166004","Paul Muntean","M",29,180,231.485375289,"Romania","ROU",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"166561","Mariusz Konrad Musial","M",24,180,194.0067907184,"Norway","NOR",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"168175","John Napier","M",23,190,220.46226218,"United States-2","USA",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Two","0"
"170740","Gareth Nichols","M",30,185,224.8715074236,"Australia","AUS",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"171399","Marcin Piotr Niewiara","M",28,191,209.439149071,"Poland","POL",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Two","0"
"178984","Bogdan Laureniu Otav","M",26,181,200.6206585838,"Romania","ROU",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"179769","Jnis Ozols","M",29,183,194.0067907184,"Latvia-1","LAT",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"179770","Jnis Ozols","M",33,183,194.0067907184,"Latvia-1","LAT",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Four","0"
"180305","Andrea Pais de Libera","M",28,188,209.439149071,"Italy","ITA",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"180657","Pter Pallai","M",39,176,202.8252812056,"Hungary","HUN",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"186584","Rico Peter","M",30,185,220.46226218,"Switzerland-2","SUI",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Two","0"
"190234","Marcin Pacheta","M",26,182,196.2114133402,"Poland","POL",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Four","0"
"191594","Yevgeny Sergeyevich Popov","M",29,180,207.2345264492,"Russia-2","RUS",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Four","0"
"191595","Yevgeny Sergeyevich Popov","M",33,180,207.2345264492,"Russia-3","RUS",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Four","0"
"193125","Brao Prielon","M",33,175,202.8252812056,"Slovakia","SVK",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"193795","Sergey Aleksandrovich Prudnikov","M",24,189,231.485375289,"Russia-2","RUS",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Two","0"
"193833","Sandis Prsis","M",36,186,211.6437716928,"Latvia-1","LAT",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"194079","Duncan Michael Pugh","M",35,190,231.485375289,"Australia-2","AUS",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Two","0"
"194460","Aleksey Sergeyevich Pushkaryov","M",27,182,198.416035962,"Russia-2","RUS",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"196138","Viktor Rjek","M",20,191,218.2576395582,"Slovakia-1","SVK",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Two","0"
"197114","Ricardo Raschini","M",38,181,191.8021680966,"Brazil","BRA",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Four","0"
"197843","Vuk Raenovi","M",26,192,231.485375289,"Serbia","SRB",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Four","0"
"197844","Vuk Raenovi","M",30,192,231.485375289,"Serbia","SRB",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Two","0"
"198445","Christian Reich","M",34,178,205.0299038274,"Switzerland-2","SUI",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"201952","Dallas Robinson","M",31,193,229.2807526672,"United States-3","USA",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Two","0"
"202359","Alexander Rdiger","M",24,183,209.439149071,"Germany-1","GER",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Four","1"
"202360","Alexander Rdiger","M",28,183,209.439149071,"Germany-3","GER",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Two","0"
"205317","Mris Rozentls","M",27,182,213.8483943146,"Latvia-2","LAT",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"205453","Bjarne Ryland","M",31,178,224.8715074236,"Norway","NOR",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Two","0"
"205850","Ivo Regg","M",34,184,218.2576395582,"Switzerland-2","SUI",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Two","0"
"206315","Lyndon Rush","M",29,183,224.8715074236,"Canada-1","CAN",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Four","1"
"206316","Lyndon Rush","M",33,183,224.8715074236,"Canada-1","CAN",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Two","0"
"206747","Anthony Ryan","M",29,185,220.46226218,"Australia-1","AUS",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Two","0"
"207785","Franz Sagmeister","M",27,191,242.508488398,"Germany-2","GER",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Two","0"
"209140","Markus Sammer","M",25,188,209.439149071,"Austria","AUT",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Two","0"
"210607","Igor arevi","M",25,193,207.2345264492,"Serbia","SRB",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Four","0"
"211144","Shintaro Sato","M",33,183,187.392922853,"Japan","JPN",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"212073","Neil Scarisbrick","M",31,185,229.2807526672,"Great Britain-2","GBR",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Two","0"
"212385","Silvio Schaufelberger","M",24,176,187.392922853,"Switzerland-1","SUI",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"214325","Bill Schuffenhauer","M",28,183,220.46226218,"United States-1","USA",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","1"
"214326","Bill Schuffenhauer","M",32,183,220.46226218,"United States-2","USA",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Two","0"
"215534","Klaus Seelos","M",36,178,202.8252812056,"Austria","AUT",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Four","0"
"216540","Seok Yeong-Jin","M",23,176,216.0530169364,"South Korea-1","KOR",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"216885","Patrice Servelle","M",27,183,198.416035962,"Monaco","MON",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"216886","Patrice Servelle","M",31,183,198.416035962,"Monaco","MON",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Two","0"
"216887","Patrice Servelle","M",35,183,198.416035962,"Monaco","MON",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Two","0"
"216888","Patrice Servelle","M",39,183,198.416035962,"Monaco","MON",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Two","0"
"220688","Benjamin Stuart ""Ben"" Simons","M",27,186,198.416035962,"Great Britain-2","GBR",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"227421","Wolfgang Stampfer","M",29,191,216.0530169364,"Austria","AUT",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Two","0"
"228141","Daniel ""Dan"" Steele","M",32,188,220.46226218,"United States-2","USA",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","1"
"229899","Jan Stoklska","M",27,190,202.8252812056,"Czech Republic","CZE",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Two","0"
"230617","Oleksandr Oleksandrovych Streltsov","M",26,187,205.0299038274,"Ukraine","UKR",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Two","0"
"232881","Hiroshi Suzuki","M",28,173,178.5744323658,"Japan","JPN",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"232883","Hiroshi Suzuki","M",36,173,178.5744323658,"Japan","JPN",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Four","0"
"232884","Hiroshi Suzuki","M",40,173,178.5744323658,"Japan","JPN",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Two","0"
"236724","Bruce Jarrod Tasker","M",26,193,209.439149071,"Great Britain-1","GBR",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"242282","Fabrizio Tosini","M",36,182,218.2576395582,"Italy-2","ITA",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Four","0"
"242283","Fabrizio Tosini","M",40,182,218.2576395582,"Italy-2","ITA",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Two","0"
"248712","Bror van der Zijde","M",24,189,242.508488398,"Netherlands","NED",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Two","0"
"254850","Aleksey Ivanovich Voyevoda","M",25,195,231.485375289,"Russia-1","RUS",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Two","0"
"255037","Rao Vucini","M",19,180,189.5975454748,"Serbia and Montenegro","SCG",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"258813","Marcel Arnold Welten","M",32,190,218.2576395582,"Netherlands","NED",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"262616","Won Yun-Jong","M",28,182,235.8946205326,"South Korea-1","KOR",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"267392","Nikita Vladimirovich Zakharov","M",26,186,189.5975454748,"Russia-3","RUS",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"267528","Daniel Zalewski","M",22,181,220.46226218,"Poland","POL",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"270557","Zsolt Zsombor","M",30,193,253.531601507,"Hungary","HUN",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"270605","Aleksandr Yuryevich Zubkov","M",27,189,224.8715074236,"Russia-2","RUS",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"270606","Aleksandr Yuryevich Zubkov","M",31,189,224.8715074236,"Russia-1","RUS",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Two","0"
